"IDDEVICE","NAME_DEVICE","IDTYPE_DEVICE","UUID","GMT_SHIFT","DAYLIGHT","MANUAL","SHORT_NAME"
"381","Яч. № 6  Фид.6","1",,"5","false",,
"382","Яч. № 14  Фид.14 к-49б р-761 747-759","1","{B1A734BA-D46E-4BAC-ABDA-DBE4533E1DE6}","5","false",,
"383","Яч. № 16  Фид.16 к-31 к-50","1","{6B510D18-8497-4C30-8867-90EC6D33D2A1}","5","false",,
"384","Яч. №5 Резерв","1",,,"false",,
"385","Яч. №9 Резерв","1",,,"false",,
"386","Яч. № 8  Фид.8","1","{D5C22B9C-D3C7-4BC1-89C1-74B0E9CE809D}","5","false",,
"387","Яч. № 17  Т1 КТП ДНС","1","{4F516A42-A76D-4E48-A536-7FDD90192DC8}","5","false",,
"388","Яч. № 5  2Т КТП-1","1","{426A59D3-8B06-424A-9175-8E8B8FE9D648}",,"false",,
"389","Яч. № 15  1Т КТП-1","1","{316AF28B-D14C-4AC6-8571-0304ED392B26}",,"false",,
"390","Яч. № 1 резерв","1","{41198DC2-CBB4-41F8-983A-E9D20AE9B106}",,"false",,
"391","Яч. № 5  Ввод №1 БКТП","1","{77CF5157-F5C6-4EFD-BC48-95CD6FFA86D2}",,"false",,
"392","Яч. № 8 Ввод №2 БКТП","1","{8413F7E7-BB67-4128-B688-74068C705026}",,"false",,
"393","Яч. № 9  СТД-1","1","{5B6E5CF7-6C91-42E1-9D11-64DCFA4ECF7B}",,"false",,
"394","Яч. № 13  СМП-1","1","{E2E97EDE-56F4-449C-86CA-45E9939B3FF9}",,"false",,
"395","Яч. № 14 СТД-2","1","{387A7B42-4393-4BB5-8350-E2A7E2DC3280}",,"false",,
"396","Яч. № 15 Резерв","1","{8B9E9373-258E-4C47-BC9C-16F9F7B069F0}",,"false",,
"397","Яч. № 18 СМП-2","1","{284F6199-19F5-4F3E-B992-E25EB02F8731}",,"false",,
"398","Яч. № 4  КТП ""КНС"" Т2","1","{25A68BC0-4481-4E83-A52E-526943F9EC1D}",,"false",,
"399","Яч. № 11  СД-1 1600 ""КНС""","1","{53E47138-1EAD-4B66-A37B-2BF6099016FB}",,"false",,
"400","Яч. № 14  Резерв","1","{A75BCFB1-DB20-4BF5-ADD3-BA2E712C6A8B}",,"false",,
"401","Яч. № 15","1","{349A3397-9AED-4B48-AD49-2E916AEF455D}",,"false",,
"402","Яч. № 18","1","{1CB8846F-F55A-47E5-8C49-DC72F801F73E}",,"false",,
"403","Яч. № 19  СД-2 1600 ""КНС""","1","{B57CE545-E840-4954-8D99-D86C11968AE6}",,"false",,
"404","Яч. № 25  КТП ""КНС"" Т1","1","{DF1095D8-CC1C-4A37-A6A1-372953ACFBB5}",,"false",,
