"IDPOINT_CONNECTION","NAME_POINT_CONNECTION","IDREGION","UUID","GMT_SHIFT","POWER_ACT","POWER_REACT","PK","PXX","SN","IDCTG_SALE","U","R","IDCTG","POWER_ACT_OBRAT","POWER_REACT_OBRAT","TC_OV_IDCHANNEL","LAST_TC_OV","ATS_CODE","KEGOC_CODE","IDTYPE_FIDER","SHORT_NAME","MARKA_PROVODA","LENGTH","LOSS_KORONA","LOSS_TOK","LOSS_PROC","CONST","IXX","UKZ","IDPROCESS"
"123","ПС35/6кВ Куст-114: Яч.№04 Резерв","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,"14"
"124","ПС35/6кВ Куст-114: Яч.№07 Резерв","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,"14"
"125","ПС35/6кВ Куст-114: Яч.№09 Резерв","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,"14"
"126","ПС35/6кВ Куст-114: Яч.№12 Резерв","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,"14"
"127","ПС35/6кВ Куст-114: Яч.№14 Резерв","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,"14"
"128","ПС35/6кВ Куст-114: Яч.№17 Резерв","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,"14"
"129","ПС35/6кВ Куст-114: Яч.№19 Резерв","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,"14"
"130","ПС35/6кВ Куст-115: Яч.№07 Резерв","0","{FB201FCC-177F-4033-96E7-F1C92433AB95}",,,,,,,,,,,,,,,,,,,,,,,,,,,"14"
"131","ПС35/6кВ Куст-115: Яч.№09 Резерв","0","{0E3BF2AF-E89C-49EE-B71D-44175EA31E99}",,,,,,,,,,,,,,,,,,,,,,,,,,,"14"
"132","ПС35/6кВ Куст-115: Яч.№12 Резерв","0","{42094058-6F0D-4B1C-BF6B-D51A91699B7F}",,,,,,,,,,,,,,,,,,,,,,,,,,,"14"
"133","ПС35/6кВ Куст-115: Яч.№14 Резерв","0","{F9F5AE49-DDA3-48E1-9CDB-09032576A8C7}",,,,,,,,,,,,,,,,,,,,,,,,,,,"14"
"134","ПС35/6кВ Куст-115: Яч.№18 Резерв","0","{9A7DF8B4-B572-4B1D-B4E4-013F966451A1}",,,,,,,,,,,,,,,,,,,,,,,,,,,
"135","ПС35/6кВ Куст-67: Яч.№05 Резерв","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,"14"
"136","ПС35/6кВ Куст-67: Яч.№15 Резерв","0","{47CB12ED-5558-4D88-ABC8-1611AC6C8AA0}",,,,,,,,,,,,,,,,,,,,,,,,,,,
"137","ПС35/6кВ Куст-69бис: Яч.№05 Резерв","0","{9FD27EB2-794A-4A58-B42B-3C0DA5C95B13}",,,,,,,,,,,,,,,,,,,,,,,,,,,"14"
"138","ПС35/6кВ Куст-69бис: Яч.№06 Резерв","0","{5F7B81AD-E9A8-4F54-9F85-48C9834B40B2}",,,,,,,,,,,,,,,,,,,,,,,,,,,
"139","ПС35/6кВ Куст-69бис: Яч.№07 Резерв","0","{9C22FB54-3F2E-4487-B99C-29577FD74BF6}",,,,,,,,,,,,,,,,,,,,,,,,,,,
"140","ПС35/6кВ Куст-69бис: Яч.№08 Х.Х.","0","{C54C4194-CBC7-4B15-859E-745705239854}",,,,,,,,,,,,,,,,,,,,,,,,,,,
"141","ПС35/6кВ Куст-69бис: Яч.№13 Резерв","0","{7B0272C0-9501-4DDC-8AAE-BD384D214A0C}",,,,,,,,,,,,,,,,,,,,,,,,,,,
"142","ПС35/6кВ Куст-69бис: Яч.№14 Резерв","0","{1B1FB1C3-C59F-4391-A1BB-CB62BD16374E}",,,,,,,,,,,,,,,,,,,,,,,,,,,
"143","ПС35/6кВ Куст-69бис: Яч.№17 Резерв","0","{D9563A9C-7A7C-4092-BCCE-EFA5F978C49F}",,,,,,,,,,,,,,,,,,,,,,,,,,,
"144","ПС35/6кВ Куст-69бис: Яч.№18 Резерв","0","{D6F02F36-947C-4FA6-8A3C-742F06698018}",,,,,,,,,,,,,,,,,,,,,,,,,,,
"145","ПС35/6кВ Куст-86: Яч.№04 Резерв","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,"14"
"146","ПС35/6кВ Куст-86: Яч.№05 Резерв","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,"14"
"147","ПС35/6кВ Куст-86: Яч.№15 Резерв","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,"14"
"148","ПС35/6кВ Малоаганская: Яч.№05 Резерв","0","{A5CA9B59-473E-49E7-840F-2E0AD7D54376}",,,,,,,,,,,,,,,,,,,,,,,,,,,"14"
"149","ПС35/6кВ Малоаганская: Яч.№15 Резерв","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"150","ПС35/6кВ Промысловая-2: Яч.№05 Резерв","0","{6A47263E-06F3-4B30-9874-35909F42E4F8}",,,,,,,,,,,,,,,,,,,,,,,,,,,
"151","ПС35/6кВ Промысловая-2: Яч.№15 Резерв","0","{28A2024D-F474-4CF6-A81A-5957303CDC77}",,,,,,,,,,,,,,,,,,,,,,,,,,,
"152","ПС35/6кВ Промысловая-2: Яч.№17 Резерв","0","{6179645C-8268-4A24-9839-D0C7FD3BAD14}",,,,,,,,,,,,,,,,,,,,,,,,,,,
