"Номера узлов",,"Имя узла начала","Имя узла конца","Обозначение","В Н","Вид","B К","Uном(н) кВ","Pв(н) кВт","Qв(н) квар","Pв(к) кВт","Qв(к) квар","dP кВт","dQ квар","dP %","Pп кВт","Qп квар","Iв(н) А","Iв(к) А","Iдоп А","Кз","Период №","Состояние"
"72-74",,"72","74",,"Вкл.","Линия","Вкл.","6,3","982","1297","949","1256","32,5","41,7","3,31","0","-0,282","147","147","10000","0,0147","0","Сущ"
"72-76",,"72","76",,"Вкл.","Линия","Вкл.","6,3","1268","1149","1234","1105","34,1","43,8","2,69","0","-0,268","155","155","10000","0,0155","0","Сущ"
"73-127",,"К-2","К-2",,"Вкл.","Трансформатор","Вкл.","6,3","323","257","318","231","3,09","13,03","0,958","1,48","13,36","38,6","565","60,6","0,636","0","Сущ"
"73-128",,"К-2","К-2",,"Вкл.","Трансформатор","Вкл.","6,3","408","357","401","321","5,38","22,7","1,32","1,48","13,36","50,6","746","60,6","0,835","0","Сущ"
"74-73",,"74","К-2",,"Вкл.","Выключатель","Вкл.","6,3","373","726","373","726","0","0","0","0","0","76,3","76,3","-","-","0","Сущ"
"74-129",,"74","К-2",,"Вкл.","Трансформатор","Вкл.","6,3","326","313","321","284","3,71","15,63","1,14","1,48","13,36","42,2","619","60,6","0,697","0","Сущ"
"74-130",,"74","К-2",,"Вкл.","Трансформатор","Вкл.","6,3","250","217","247","195","1,96","8,27","0,784","1,48","13,36","30,9","450","60,6","0,51","0","Сущ"
"75-131",,"К-23","К-23",,"Вкл.","Трансформатор","Вкл.","6,3","469","457","460","410","7,89","33,2","1,68","1,49","13,38","61,2","903","60,6","1,01","0","Сущ"
"75-132",,"К-23","К-23",,"Вкл.","Трансформатор","Вкл.","6,3","230","174","227","154","1,48","6,23","0,643","1,49","13,38","26,9","391","60,6","0,444","0","Сущ"
"76-75",,"76","К-23",,"Вкл.","Выключатель","Вкл.","6,3","699","630","699","630","0","0","0","0","0","87,9","87,9","-","-","0","Сущ"
"76-133",,"76","К-23",,"Вкл.","Трансформатор","Вкл.","6,3","235","204","231","184","0,942","4,53","0,401","3,19","15,93","29,1","419","96,2","0,302","0","Сущ"
"76-134",,"76","К-23",,"Вкл.","Трансформатор","Вкл.","6,3","299","271","295","245","2,94","12,4","0,983","1,49","13,38","37,7","552","60,6","0,622","0","Сущ"
"78-146",,"К-117","К-117",,"Вкл.","Трансформатор","Вкл.","6,3","40,7","43,3","39","28","0,0389","0,164","0,0955","1,68","15,14","5,22","63,4","60,6","0,0861","0","Сущ"
"79-78",,"79","К-117",,"Откл.","Выключатель","Откл.",,,,,,,,,,,,,,"0","Сущ",
"79-147",,"79","К-117",,"Вкл.","Трансформатор","Вкл.","6,3","1,46","13,17","0","0","0","0","0","1,46","13,17","1,25","0","60,6","0,0206","0","Сущ"
"80-81",,"80","81",,"Вкл.","Выключатель","Вкл.","6,3","-842","-1433","-842","-1433","0","0","0","0","0","148","148","-","-","0","Сущ"
"80",,"80",,,"Вкл.","Шунт",,"6,3","1,75","-525",,,,,,,,"46,8",,"43,3","1,08","0","Сущ"
"80",,"80",,,"Вкл.","Шунт",,"6,3","1,75","-525",,,,,,,,"46,8",,"43,3","1,08","0","Сущ"
"80",,"80",,,"Вкл.","Шунт",,"6,3","1,75","-525",,,,,,,,"46,8",,"43,3","1,08","0","Сущ"
"81",,"81",,,"Вкл.","Шунт",,"6,3","1,75","-525",,,,,,,,"46,8",,"43,3","1,08","0","Сущ"
"81",,"81",,,"Вкл.","Шунт",,"6,3","1,75","-525",,,,,,,,"46,8",,"43,3","1,08","0","Сущ"
"81",,"81",,,"Вкл.","Шунт",,"6,3","1,75","-525",,,,,,,,"46,8",,"43,3","1,08","0","Сущ"
"83-84",,"1 СШ","2 СШ",,"Откл.","Выключатель","Откл.",,,,,,,,,,,,,,"0","Сущ",
"83-92",,"1 СШ","ПС 35 кВ Абазаров",,"Вкл.","Линия","Вкл.","35","3049","2861","3036","2857","13,08","20,9","0,429","0","-16,8","64,3","64,5","10000","0,00643","0","Сущ"
"83-101",,"1 СШ","101",,"Вкл.","Линия","Вкл.","35","4636","3442","4577","3387","59,4","94,9","1,28","0","-39,4","88,8","89,1","10000","0,00888","0","Сущ"
"83-106",,"1 СШ","СР-9, оп.118",,"Вкл.","Линия","Вкл.","35","13154","9351","12186","7880","968","1547","7,36","0","-75,7","248","249","10000","0,0248","0","Сущ"
"84-93",,"2 СШ","93",,"Вкл.","Линия","Вкл.","35","3842","4221","3817","4199","24,1","38,5","0,628","0","-16,95","87,3","87,5","10000","0,00873","0","Сущ"
"84-102",,"2 СШ","102",,"Вкл.","Линия","Вкл.","35","3527","-1304","3502","-1303","24,7","39,5","0,701","0","-40,5","57,5","57,3","10000","0,00575","0","Сущ"
"84-107",,"2 СШ","СР-10 оп.118",,"Вкл.","Линия","Вкл.","35","12093","6805","11385","5752","708","1131","5,85","0","-78","212","213","10000","0,0212","0","Сущ"
"85",,"ПС 110 кВ Жагрин",,"грин","Вкл.","Источник ЭДС",,"110","-41009","-25162",,,,,,,,"242",,"-","-","0","Сущ"
"85-86",,"ПС 110 кВ Жагрин","86фт",,"Вкл.","Трансформатор","Вкл.","110","20598","14232","20520","12746","22,4","1045","0,109","56","441","126","124","316","0,397","0","Сущ"
"85-89",,"ПС 110 кВ Жагрин","89фт",,"Вкл.","Трансформатор","Вкл.","110","20410","10930","20335","9594","19,16","895","0,0939","56","441","116","115","316","0,368","0","Сущ"
"86-87",,"86фт","87",,"Вкл.","Трансформатор","Вкл.","110","20876","15644","20850","15673","26,1","-29,6","0,125","0","0","134","401","945","0,142","0","Сущ"
"86-88",,"86фт","88",,"Вкл.","Трансформатор","Вкл.","110","-357","-2897","-357","-2906","0,327","8,86","0,0915","0","0","15,01","262","5511","0,0475","0","Сущ"
"87-83",,"87","1 СШ",,"Вкл.","Линия","Вкл.","35","20851","15673","20839","15655","12,04","19,24","0,0578","0","-0,402","401","401","10000","0,0401","0","Сущ"
"88-80",,"88","80",,"Вкл.","Линия","Вкл.","6","-357","-2906","-362","-2913","5,13","6,59","1,44","0","-0,015","262","262","10000","0,0262","0","Сущ"
"89-90",,"89фт","90",,"Вкл.","Трансформатор","Вкл.","110","19486","9735","19468","9735","17,98","0","0,0923","0","0","111","333","316","0,352","0","Сущ"
"89-91",,"89фт","91",,"Вкл.","Трансформатор","Вкл.","110","848","-140","848","-141","0,028","0,76","0,0033","0","0","4,39","76,6","316","0,0139","0","Сущ"
"90-84",,"90","2 СШ",,"Вкл.","Линия","Вкл.","35","19469","9735","19461","9722","8,3","13,26","0,0426","0","-0,406","333","333","10000","0,0333","0","Сущ"
