"Номера узлов",,"Имя узла начала","Имя узла конца","Обозначение","В Н","Вид","B К","Uном(н) кВ","Pв(н) кВт","Qв(н) квар","Pв(к) кВт","Qв(к) квар","dP кВт","dQ квар","dP %","Pп кВт","Qп квар","Iв(н) А","Iв(к) А","Iдоп А","Кз","Период №","Состояние"
"403-402",,"403","К-8",,"Вкл.","Выключатель","Вкл.","6","190","90,4","190","90,4","0","0","0","0","0","21,9","21,9","-","-","0","Сущ"
"405-406",,"405","406",,"Вкл.","Выключатель","Вкл.","6,3","0","0","0","0","0","0","0","0","0","0","0","-","-","0","Сущ"
"406-407",,"406","407",,"Вкл.","Трансформатор","Вкл.","6","176","109","173","94","0,518","2,49","0,294","2,56","12,78","21,6","310","96,2","0,225","0","Сущ"
"408-410",,"408","410",,"Вкл.","Линия","Откл.",,,,,,,,,,,,,,"0","Сущ",
"408-415",,"408","К-94",,"Вкл.","Линия","Откл.",,,,,,,,,,,,,,"0","Сущ",
"409-411",,"409","К-7",,"Вкл.","Линия","Вкл.","6","902","515","900","513","1,83","2,35","0,203","0","-0,021","110","110","10000","0,011","0","Сущ"
"409-416",,"409","416",,"Вкл.","Линия","Вкл.","6","212","143","211","142","1,33","1,71","0,629","0","-0,251","27,2","27,2","10000","0,00272","0","Сущ"
"410-412",,"410","К-7",,"Вкл.","Трансформатор","Вкл.","6,3","241","174","238","155","2,09","8,82","0,867","1,14","10,26","31,7","465","60,6","0,523","0","Сущ"
"410-413",,"410","К-7",,"Вкл.","Трансформатор","Вкл.","6,3","311","189","307","165","3,17","13,36","1,02","1,14","10,26","38,8","572","60,6","0,64","0","Сущ"
"410-414",,"410","К-7",,"Вкл.","Трансформатор","Вкл.","6,3","348","150","343","125","3,45","14,56","0,994","1,14","10,26","40,4","598","60,6","0,666","0","Сущ"
"411-410",,"К-7","410",,"Вкл.","Выключатель","Вкл.","6","900","513","900","513","0","0","0","0","0","110","110","-","-","0","Сущ"
"415-416",,"К-94","416",,"Вкл.","Выключатель","Вкл.","6,3","0","0","0","0","0","0","0","0","0","0","0","-","-","0","Сущ"
"416-417",,"416","К-94",,"Вкл.","Трансформатор","Вкл.","6","211","142","208","125","1,53","6,46","0,727","1,13","10,14","27,2","398","60,6","0,449","0","Сущ"
"418-394",,"418","394","Ф-10","Вкл.","Линия","Вкл.","6","1785","1148","1774","1134","10,8","13,87","0,605","0","-0,0453","203","203","10000","0,0203","0","Сущ"
"418-383",,"418","1 СШ","Ф-10","Вкл.","Линия","Вкл.","6","-1785","-1148","-1787","-1150","1,72","1,26","0,0963","0","0","203","203","10000","0,0203","0","Сущ"
"419-421",,"419","421",,"Вкл.","Линия","Откл.",,,,,,,,,,,,,,"0","Сущ",
"419-428",,"419","К-6бис",,"Вкл.","Линия","Вкл.","6","245","148","244","148","0,253","0,325","0,103","0","-0,0585","27,4","27,4","10000","0,00274","0","Сущ"
"420-422",,"420","К-6",,"Вкл.","Линия","Вкл.","6","816","1598","807","1586","9,12","11,72","1,12","0","-0,0501","174","174","10000","0,0174","0","Сущ"
"420-429",,"420","429",,"Вкл.","Линия","Откл.",,,,,,,,,,,,,,"0","Сущ",
"421-422",,"421","К-6",,"Вкл.","Выключатель","Вкл.","6","-407","-274","-407","-274","0","0","0","0","0","48,1","48,1","-","-","0","Сущ"
"421-423",,"421","423",,"Вкл.","Трансформатор","Вкл.","6","123","77,8","121","64","0,398","1,68","0,325","1,35","12,15","14,24","203","60,6","0,235","0","Сущ"
"421-424",,"421","424",,"Вкл.","Трансформатор","Вкл.","6","150","129","147","113","0,406","1,95","0,27","2,89","14,46","19,44","275","96,2","0,202","0","Сущ"
"421-425",,"421","425",,"Вкл.","Трансформатор","Вкл.","6","134","67","132","53","0,43","1,81","0,321","1,35","12,15","14,66","211","60,6","0,242","0","Сущ"
"422-426",,"К-6","426",,"Вкл.","Трансформатор","Вкл.","6","113","81,7","111","68","0,36","1,52","0,32","1,35","12,15","13,64","193","60,6","0,225","0","Сущ"
"422-427",,"К-6","К-6",,"Вкл.","Трансформатор","Вкл.","6","287","1230","253","1080","32,7","138","11,4","1,35","12,15","124","1839","60,6","2,04","0","Сущ"
"428-430",,"К-6бис","К-6бис",,"Вкл.","Трансформатор","Вкл.","6","126","53,3","124","43","0,62","1,86","0,494","1,01","8,47","13,08","190","38,5","0,34","0","Сущ"
"429-428",,"429","К-6бис",,"Вкл.","Выключатель","Вкл.","6","-119","-94,7","-119","-94,7","0","0","0","0","0","14,56","14,56","-","-","0","Сущ"
"429-431",,"429","К-6бис",,"Вкл.","Трансформатор","Вкл.","6","119","94,7","117","84","0,753","2,26","0,634","1,01","8,47","14,56","210","38,5","0,378","0","Сущ"
"432-433",,"КРУН-6 кВ ДНС-2 1 СШ","2 СШ",,"Откл.","Выключатель","Откл.",,,,,,,,,,,,,,"0","Сущ",
"432-434",,"КРУН-6 кВ ДНС-2 1 СШ","434","Ф-9 ДНС-1","Вкл.","Линия","Вкл.","6,3","1437","1108","1392","1051","44,7","57,5","3,11","0","-0,253","173","173","10000","0,0173","0","Сущ"
"432-464",,"КРУН-6 кВ ДНС-2 1 СШ","464","Ф-13","Вкл.","Линия","Вкл.","6,3","226","192","225","191","0,418","0,537","0,185","0","-0,0919","28,2","28,2","10000","0,00282","0","Сущ"
"432-468",,"КРУН-6 кВ ДНС-2 1 СШ","468","Ф-15 ДНС-1","Вкл.","Линия","Вкл.","6,3","1906","1275","1897","1264","8,93","11,48","0,469","0","-0,0327","218","218","10000","0,0218","0","Сущ"
"433-435",,"2 СШ","435","Ф-14 ДНС-1","Вкл.","Линия","Вкл.","6,3","2229","1513","2138","1396","91,4","117","4,1","0","-0,269","247","247","10000","0,0247","0","Сущ"
"433-452",,"2 СШ","К-78","Ф-16","Вкл.","Линия","Вкл.","6,3","55,3","45,6","55,2","45,7","0,0227","0,0291","0,041","0","-0,0993","6,57","6,57","10000","0,000657","0","Сущ"
"433-472",,"2 СШ","472","Ф-8 ДНС-1","Вкл.","Линия","Вкл.","6,3","1100","793","1086","774","14,48","18,6","1,32","0","-0,175","124","124","10000","0,0124","0","Сущ"
"434-437",,"434","437","Ф-9 ДНС-1","Вкл.","Линия","Вкл.","6,3","468","345","467","343","0,994","1,28","0,212","0","-0,0485","57,6","57,6","10000","0,00576","0","Сущ"
"434-447",,"434","К-5","Ф-9 ДНС-1","Вкл.","Линия","Вкл.","6,3","924","706","895","670","28,8","37,1","3,12","0","-0,339","115","115","10000","0,0115","0","Сущ"
"435-436",,"435","436","Ф-14 ДНС-1","Вкл.","Линия","Вкл.","6,3","537","406","536","404","1,27","1,63","0,237","0","-0,0508","65,1","65,1","10000","0,00651","0","Сущ"
"435-453",,"435","453","Ф-14 ДНС-1","Вкл.","Линия","Вкл.","6,3","1600","990","1528","898","72,1","92,6","4,5","0","-0,349","182","182","10000","0,0182","0","Сущ"
"436-439",,"436","439","Ф-14 ДНС-1","Вкл.","Линия","Вкл.","6,3","180","151","179","151","0,0563","0,0723","0,0313","0","-0,0184","22,7","22,7","10000","0,00227","0","Сущ"
"436-444",,"436","444","Ф-14 ДНС-1","Вкл.","Линия","Вкл.","6,3","356","253","354","250","2,45","3,15","0,687","0","-0,228","42,4","42,4","10000","0,00424","0","Сущ"
"437-438",,"437","К-35","Ф-9 ДНС-1","Вкл.","Линия","Вкл.","6,3","124","98,9","124","98,9","0,0199","0,0255","0,016","0","-0,0129","15,73","15,73","10000","0,00157","0","Сущ"
"437-443",,"437","К-87","Ф-9 ДНС-1","Вкл.","Линия","Вкл.","6,3","343","244","341","242","2,45","3,15","0,714","0","-0,224","41,8","41,9","10000","0,00418","0","Сущ"
"438-440",,"К-35","440",,"Откл.","Выключатель","Откл.",,,,,,,,,,,,,,"0","Сущ",
"438-441",,"К-35","К-35",,"Вкл.","Трансформатор","Вкл.","6,3","124","98,9","122","85","0,485","2,04","0,392","1,31","11,83","15,73","224","60,6","0,26","0","Сущ"
"439-442",,"439","К-35",,"Вкл.","Трансформатор","Вкл.","6,3","179","151","177","134","1,04","4,39","0,581","1,38","12,39","22,7","328","60,6","0,375","0","Сущ"
"443-444",,"К-87","444",,"Откл.","Выключатель","Откл.",,,,,,,,,,,,,,"0","Сущ",
"443-445",,"К-87","К-87",,"Вкл.","Трансформатор","Вкл.","6,3","341","242","336","218","2,02","9,7","0,592","2,77","13,83","41,9","613","96,2","0,435","0","Сущ"
"444-446",,"444","К-87",,"Вкл.","Трансформатор","Вкл.","6,3","354","250","349","226","2,07","9,96","0,585","2,9","14,5","42,4","621","96,2","0,441","0","Сущ"
"447-448",,"К-5","К-5",,"Вкл.","Трансформатор","Вкл.","6,3","232","207","229","187","2,12","8,94","0,913","1,22","10,99","32,1","468","60,6","0,529","0","Сущ"
"447-449",,"К-5","К-5",,"Вкл.","Трансформатор","Вкл.","6,3","270","204","266","182","2,52","10,64","0,936","1,22","10,99","34,8","511","60,6","0,574","0","Сущ"
"447-450",,"К-5","К-5",,"Вкл.","Трансформатор","Вкл.","6,3","197","120","195","104","1,16","4,9","0,589","1,22","10,99","23,8","347","60,6","0,393","0","Сущ"
"447-451",,"К-5","К-5",,"Вкл.","Трансформатор","Вкл.","6,3","195","139","193","123","1,25","5,28","0,641","1,22","10,99","24,7","360","60,6","0,408","0","Сущ"
"452-467",,"К-78","К-78",,"Вкл.","Трансформатор","Вкл.","6,3","55,2","45,7","54","36","0,138","0,412","0,249","1,1","9,25","6,57","89,7","38,5","0,171","0","Сущ"
"453-454",,"453","454",,"Вкл.","Линия","Вкл.","6,3","-0,00795","-0,0874","-0,00795","-0,00827","0","0","0","0","-0,0791","0,00901","0,00118","10000","0","0","Сущ"
"453-455",,"453","455","Ф-14 ДНС-1","Вкл.","Линия","Вкл.","6,3","1528","898","1516","882","12,43","15,96","0,813","0","-0,0559","182","182","10000","0,0182","0","Сущ"
"455-456",,"455","К-155","Ф-14 ДНС-1","Вкл.","Линия","Вкл.","6,3","870","402","868","401","1,48","1,91","0,171","0","-0,0221","99,5","99,5","10000","0,00995","0","Сущ"
"455-460",,"455","К-36","Ф-14 ДНС-1","Вкл.","Линия","Вкл.","6,3","646","480","629","458","17,27","22,2","2,67","0","-0,353","83,5","83,5","10000","0,00835","0","Сущ"
"456-457",,"К-155","457",,"Вкл.","Выключатель","Вкл.","6,3","704","328","704","328","0","0","0","0","0","80,8","80,8","-","-","0","Сущ"
"456-458",,"К-155","К-155",,"Вкл.","Трансформатор","Вкл.","6,3","164","72,5","161","57,8","0,387","1,86","0,236","2,57","12,84","18,65","268","96,2","0,194","0","Сущ"
"457-459",,"457","К-155",,"Вкл.","Трансформатор","Вкл.","6,3","704","328","694","278","7,75","37,2","1,1","2,57","12,84","80,8","1200","96,2","0,84","0","Сущ"
"460-461",,"К-36","461",,"Вкл.","Выключатель","Вкл.","6,3","388","274","388","274","0","0","0","0","0","51","51","-","-","0","Сущ"
"460-462",,"К-36","К-36",,"Вкл.","Трансформатор","Вкл.","6,3","241","183","238","164","2,2","9,28","0,913","1,12","10,11","32,6","477","60,6","0,537","0","Сущ"
"461-463",,"461","К-36",,"Вкл.","Трансформатор","Вкл.","6,3","388","274","381","241","5,5","23,2","1,42","1,12","10,11","51","754","60,6","0,841","0","Сущ"
"464-452",,"464","К-78",,"Откл.","Выключатель","Откл.",,,,,,,,,,,,,,"0","Сущ",
"464-465",,"464","К-78",,"Вкл.","Трансформатор","Вкл.","6,3","120","106","118","95","0,827","2,48","0,69","1,02","8,55","15,26","220","38,5","0,397","0","Сущ"
"464-466",,"464","К-78",,"Вкл.","Трансформатор","Вкл.","6,3","106","85,3","104","75","0,589","1,77","0,558","1,02","8,55","12,95","186","38,5","0,336","0","Сущ"
"468-469",,"468","УП СОД","Ф-15 ДНС-1","Вкл.","Линия","Вкл.","6,3","12,36","5,64","12,36","5,66","0,000198","0,000255","0,0016","0","-0,0203","1,3","1,3","10000","0,00013","0","Сущ"
"468-471",,"468","471","Ф-15 ДНС-1","Вкл.","Линия","Вкл.","6,3","1885","1258","1849","1213","35,3","45,4","1,87","0","-0,127","217","217","10000","0,0217","0","Сущ"
"469-470",,"УП СОД","УП СОД",,"Вкл.","Трансформатор","Вкл.","6,3","12,37","5,67","12","5","0,17","0,541","1,37","0,202","0,126","1,3","19,21","2,41","0,542","0","Сущ"
"471-474",,"471","474","Ф-15 ДНС-1","Вкл.","Линия","Вкл.","6,3","286","152","285","150","1,63","2,09","0,568","0","-0,263","31,8","31,8","10000","0,00318","0","Сущ"
"471-494",,"471","494","Ф-15 ДНС-1","Вкл.","Линия","Вкл.","6,3","1563","1061","1486","962","77,3","99,3","4,94","0","-0,349","185","185","10000","0,0185","0","Сущ"
"472-473",,"472","473","Ф-8 ДНС-1","Вкл.","Линия","Вкл.","6,3","592","455","584","445","7,84","10,07","1,32","0","-0,292","69,6","69,6","10000","0,00696","0","Сущ"
"472-495",,"472","495","Ф-8 ДНС-1","Вкл.","Линия","Вкл.","6,3","494","320","487","311","6,76","8,69","1,37","0","-0,405","54,8","54,8","10000","0,00548","0","Сущ"
"473-476",,"473","К-20","Ф-8 ДНС-1","Вкл.","Линия","Откл.",,,,,,,,,,,,,,"0","Сущ",
"473-480",,"473","480","Ф-8 ДНС-1","Вкл.","Линия","Вкл.","6,3","584","445","572","430","12,26","15,76","2,1","0","-0,437","69,6","69,6","10000","0,00696","0","Сущ"
"474-475",,"474","475","Ф-15 ДНС-1","Вкл.","Линия","Вкл.","6,3","168","101","168","101","0,0423","0,0543","0,0251","0","-0,0183","19,38","19,38","10000","0,00194","0","Сущ"
"474-479",,"474","479","Ф-15 ДНС-1","Вкл.","Линия","Вкл.","6,3","117","49,3","116","49,2","0,4","0,514","0,343","0","-0,413","12,52","12,53","10000","0,00125","0","Сущ"
"475-478",,"475","К-20",,"Вкл.","Трансформатор","Вкл.","6,3","110","53,1","108","46","0,821","3,53","0,748","0,947","3,55","12,06","177","24,1","0,501","0","Сущ"
"476-475",,"К-20","475",,"Вкл.","Выключатель","Вкл.","6,3","-58,2","-47,8","-58,2","-47,8","0","0","0","0","0","7,45","7,45","-","-","0","Сущ"
"476-477",,"К-20","К-20",,"Вкл.","Трансформатор","Вкл.","6,3","58,2","47,8","57","43","0,301","1,29","0,517","0,947","3,55","7,45","107","24,1","0,31","0","Сущ"
"479-481",,"479","К-60","Ф-15 ДНС-1","Вкл.","Линия","Откл.",,,,,,,,,,,,,,"0","Сущ",
"479-485",,"479","485","Ф-15 ДНС-1","Вкл.","Линия","Вкл.","6,3","116","49,6","116","49,6","0,0337","0,0433","0,029","0","-0,0345","12,55","12,55","10000","0,00126","0","Сущ"
"480-482",,"480","482","Ф-8 ДНС-1","Вкл.","Линия","Вкл.","6,3","570","417","558","402","12,38","15,9","2,17","0","-0,427","68,8","68,8","10000","0,00688","0","Сущ"
"480-486",,"480","486","Ф-8 ДНС-1","Вкл.","Линия","Вкл.","6,3","1,37","12,27","1,37","12,3","0,000309","0,000397","0","0","-0,0359","1,2","1,2","10000","0,00012","0","Сущ"
"481-483",,"К-60","К-60",,"Вкл.","Трансформатор","Вкл.","6,3","262","195","258","175","1,21","5,82","0,462","2,77","13,87","32,7","474","96,2","0,339","0","Сущ"
"481-482",,"К-60","482",,"Вкл.","Выключатель","Вкл.","6,3","-262","-195","-262","-195","0","0","0","0","0","32,7","32,7","-","-","0","Сущ"
"482-484",,"482","К-60",,"Вкл.","Трансформатор","Вкл.","6,3","296","207","292","184","2,73","11,49","0,921","1,29","11,65","36,2","531","60,6","0,596","0","Сущ"
"485-487",,"485","К-42бис","Ф-15 ДНС-1","Вкл.","Линия","Вкл.","6,3","116","49,6","116","49,6","0,0295","0,0379","0,0254","0","-0,0302","12,55","12,55","10000","0,00126","0","Сущ"
"485-491",,"485","К-42","Ф-15 ДНС-1","Вкл.","Линия","Откл.",,,,,,,,,,,,,,"0","Сущ",
"486-488",,"486","488","Ф-8 ДНС-1","Откл.","Линия","Откл.",,,,,,,,,,,,,,"0","Сущ",
"486-492",,"486","492","Ф-8 ДНС-1","Вкл.","Линия","Вкл.","6,3","1,33","12,26","1,33","12,28","0,000168","0,000215","0","0","-0,0195","1,2","1,2","10000","0,00012","0","Сущ"
"487-488",,"К-42бис","488",,"Вкл.","Выключатель","Вкл.","6,3","41","16,06","41","16,06","0","0","0","0","0","4,37","4,37","-","-","0","Сущ"
"487-489",,"К-42бис","К-42бис",,"Вкл.","Трансформатор","Вкл.","6,3","75,2","33,6","74","25","0,234","0,702","0,312","0,938","7,88","8,18","117","38,5","0,213","0","Сущ"
"488-490",,"488","К-42бис",,"Вкл.","Трансформатор","Вкл.","6,3","41","16,07","40","8","0,0635","0,19","0,155","0,938","7,88","4,38","60,9","38,5","0,114","0","Сущ"
"491-492",,"К-42","492",,"Вкл.","Выключатель","Вкл.","6,3","0","0","0","0","0","0","0","0","0","0","0","-","-","0","Сущ"
"492-493",,"492","К-42",,"Вкл.","Трансформатор","Вкл.","6,3","1,37","12,32","0,000104","0","0","0","0","1,37","12,32","1,21","0,000164","60,6","0,0199","0","Сущ"
"494-497",,"494","497","Ф-15 ДНС-1","Вкл.","Линия","Вкл.","6,3","1486","962","1477","950","9,02","11,59","0,607","0","-0,0378","185","185","10000","0,0185","0","Сущ"
"494-505",,"494","505","Ф-15 ДНС-1","Вкл.","Линия","Откл.",,,,,,,,,,,,,,"0","Сущ",
"495-496",,"495","496","Ф-8 ДНС-1","Вкл.","Линия","Вкл.","6,3","319","211","318","211","0,345","0,443","0,108","0","-0,0463","36,3","36,3","10000","0,00363","0","Сущ"
"495-506",,"495","К-33бис","Ф-8 ДНС-1","Вкл.","Линия","Вкл.","6,3","168","100","168","100","0,143","0,183","0,0848","0","-0,0728","18,59","18,6","10000","0,00186","0","Сущ"
"496-499",,"496","499","Ф-8 ДНС-1","Вкл.","Линия","Вкл.","6,3","318","211","318","211","0,0302","0,028","0,0095","0","0","36,3","36,3","10000","0,00363","0","Сущ"
"496-509",,"496","К-33","Ф-8 ДНС-1","Вкл.","Линия","Откл.",,,,,,,,,,,,,,"0","Сущ",
"497-498",,"497","498","Ф-15 ДНС-1","Вкл.","Линия","Вкл.","6,3","822","477","822","477","0,232","0,214","0,0282","0","0","100","100","10000","0,01","0","Сущ"
"497-508",,"497","508","Ф-15 ДНС-1","Вкл.","Линия","Вкл.","6,3","655","473","652","470","3","3,85","0,458","0","-0,0585","85,3","85,3","10000","0,00853","0","Сущ"
"498-500",,"498","500","Ф-15 ДНС-1","Вкл.","Линия","Вкл.","6,3","822","477","810","461","12,08","15,52","1,47","0","-0,168","100","100","10000","0,01","0","Сущ"
"499-501",,"499","501","Ф-8 ДНС-1","Вкл.","Линия","Вкл.","6,3","318","211","317","209","1,58","2,03","0,496","0","-0,21","36,3","36,3","10000","0,00363","0","Сущ"
"500-503",,"500","503","Ф-15 ДНС-1","Вкл.","Линия","Откл.",,,,,,,,,,,,,,"0","Сущ",
"500-513",,"500","513","Ф-15 ДНС-1","Вкл.","Линия","Вкл.","6,3","810","461","807","457","3,4","4,37","0,42","0","-0,046","100","100","10000","0,01","0","Сущ"
"501-502",,"501","К-32бис","Ф-8 ДНС-1","Вкл.","Линия","Вкл.","6,3","317","209","316","208","0,593","0,761","0,187","0","-0,078","36,3","36,3","10000","0,00363","0","Сущ"
"501-514",,"501","514","Ф-8 ДНС-1","Вкл.","Линия","Вкл.","6,3","-0,0105","-0,133","-0,0105","-0,0746","0","0","0","0","-0,0587","0,0128","0,0072","10000","0","0","Сущ"
"502-503",,"К-32бис","503",,"Вкл.","Выключатель","Вкл.","6,3","316","208","316","208","0","0","0","0","0","36,3","36,3","-","-","0","Сущ"
"503-504",,"503","К-32бис",,"Вкл.","Трансформатор","Вкл.","6,3","316","208","312","184","2,75","11,57","0,869","1,41","12,7","36,3","533","60,6","0,599","0","Сущ"
"506-507",,"К-33бис","К-33бис",,"Вкл.","Трансформатор","Вкл.","6,3","168","100","166","84,5","0,696","2,93","0,414","1,44","12,93","18,6","268","60,6","0,307","0","Сущ"
"506-505",,"К-33бис","505",,"Вкл.","Выключатель","Вкл.","6,3","-0,00496","-0,00376","-0,00496","-0,00376","0","0","0","0","0","0,000591","0,000591","-","-","0","Сущ"
"508-511",,"508","К-33",,"Вкл.","Трансформатор","Вкл.","6,3","218","151","215","134","1,64","6,91","0,752","1,15","10,35","28,2","412","60,6","0,464","0","Сущ"
"508-512",,"508","К-33",,"Вкл.","Трансформатор","Вкл.","6,3","277","217","273","194","2,91","12,26","1,05","1,15","10,35","37,3","548","60,6","0,616","0","Сущ"
"509-508",,"К-33","508",,"Вкл.","Выключатель","Вкл.","6,3","-157","-102","-157","-102","0","0","0","0","0","19,86","19,86","-","-","0","Сущ"
"509-510",,"К-33","К-33",,"Вкл.","Трансформатор","Вкл.","6,3","157","102","155","88","0,8","3,37","0,51","1,15","10,35","19,86","288","60,6","0,328","0","Сущ"
"513-515",,"513","515","Ф-15 ДНС-1","Вкл.","Линия","Вкл.","6,3","807","457","803","452","3,78","4,85","0,468","0","-0,0506","100","100","10000","0,01","0","Сущ"
"513-521",,"513","521",,"Откл.","Выключатель","Откл.",,,,,,,,,,,,,,"0","Сущ",
"514-516",,"514","К-32","Ф-8 ДНС-1","Вкл.","Линия","Откл.",,,,,,,,,,,,,,"0","Сущ",
"514-522",,"514","522",,"Откл.","Выключатель","Откл.",,,,,,,,,,,,,,"0","Сущ",
"515-519",,"515","К-32",,"Вкл.","Трансформатор","Вкл.","6,3","163","106","161","92","0,914","3,85","0,561","1,09","9,84","21,2","307","60,6","0,349","0","Сущ"
"515-520",,"515","К-32",,"Вкл.","Трансформатор","Вкл.","6,3","163","81,2","161","68","0,808","3,4","0,496","1,09","9,84","19,82","289","60,6","0,327","0","Сущ"
"516-515",,"К-32","515",,"Вкл.","Выключатель","Вкл.","6,3","-477","-265","-477","-265","0","0","0","0","0","59,4","59,4","-","-","0","Сущ"
"516-517",,"К-32","К-32",,"Вкл.","Трансформатор","Вкл.","6,3","231","139","228","122","1,8","7,57","0,778","1,09","9,84","29,4","431","60,6","0,485","0","Сущ"
"516-518",,"К-32","К-32",,"Вкл.","Трансформатор","Вкл.","6,3","246","126","243","108","1,9","7,99","0,771","1,09","9,84","30,1","443","60,6","0,496","0","Сущ"
"536-539",,"536","Котельная",,"Вкл.","Трансформатор","Вкл.","6","11,02","11,85","10","8","0,00882","0,0379","0,08","1,02","3,81","1,55","18,38","24,1","0,0642","0","Сущ"
"537-536",,"Котельная","536",,"Откл.","Выключатель","Откл.",,,,,,,,,,,,,,"0","Сущ",
"537-538",,"Котельная","Котельная",,"Вкл.","Трансформатор","Вкл.","6,3","11,1","12,13","10","8","0,00821","0,0353","0,074","1,09","4,09","1,51","17,74","24,1","0,063","0","Сущ"
"540-544",,"540","544",,"Вкл.","Линия","Вкл.","6","115","55,9","115","55,9","0,149","0,192","0,13","0","-0,165","12,37","12,37","10000","0,00124","0","Сущ"
"540-548",,"540","548",,"Вкл.","Линия","Вкл.","6","182","133","181","133","0,716","0,92","0,394","0","-0,253","21,8","21,9","10000","0,00218","0","Сущ"
"541-545",,"541","К-19",,"Вкл.","Линия","Вкл.","6,3","0,00147","-0,161","0,00147","0,0022","0","0","0","0","-0,163","0,0157","0,000258","10000","0","0","Сущ"
"541-547",,"541","547",,"Вкл.","Линия","Вкл.","6,3","1029","774","1005","744","23,6","30,4","2,3","0","-0,244","126","126","10000","0,0126","0","Сущ"
"542-540",,"ДНС-2","540","Ф-3","Вкл.","Линия","Вкл.","6","300","193","296","189","3,48","4,47","1,16","0","-0,515","34,1","34,1","10000","0,00341","0","Сущ"
"542-543",,"ДНС-2","ДНС-2",,"Вкл.","Трансформатор","Вкл.","6","1,42","12,8","0","0","0","0","0","1,42","12,8","1,23","0","60,6","0,0203","0","Сущ"
"544-546",,"544","К-19",,"Вкл.","Трансформатор","Вкл.","6","115","55,9","113","46","0,55","1,65","0,48","0,982","8,25","12,37","179","38,5","0,321","0","Сущ"
"545-544",,"К-19","544",,"Откл.","Выключатель","Откл.",,,,,,,,,,,,,,"0","Сущ",
"547-550",,"547","К-10",,"Вкл.","Линия","Вкл.","6,3","709","481","708","480","1,39","1,78","0,196","0","-0,0295","86","86","10000","0,0086","0","Сущ"
"547-553",,"547","К-86",,"Вкл.","Линия","Вкл.","6,3","296","263","291","256","5,57","7,15","1,88","0","-0,544","39,7","39,8","10000","0,00397","0","Сущ"
"548-549",,"548","549",,"Вкл.","Линия","Откл.",,,,,,,,,,,,,,"0","Сущ",
"548-554",,"548","554",,"Вкл.","Линия","Вкл.","6","181","133","179","131","1,69","2,17","0,932","0","-0,584","21,9","21,9","10000","0,00219","0","Сущ"
"549-552",,"549","К-10",,"Вкл.","Трансформатор","Вкл.","6","417","273","411","245","2,92","14,04","0,701","2,74","13,71","50,1","737","96,2","0,521","0","Сущ"
"550-549",,"К-10","549",,"Вкл.","Выключатель","Вкл.","6,3","417","273","417","273","0","0","0","0","0","50,1","50,1","-","-","0","Сущ"
"550-551",,"К-10","К-10",,"Вкл.","Трансформатор","Вкл.","6,3","291","207","287","184","2,69","11,34","0,925","1,28","11,52","35,9","527","60,6","0,593","0","Сущ"
"553-554",,"К-86","554",,"Откл.","Выключатель","Откл.",,,,,,,,,,,,,,"0","Сущ",
"553-555",,"К-86","К-86",,"Вкл.","Трансформатор","Вкл.","6,3","291","256","286","231","3,3","13,9","1,14","1,23","11,06","39,8","584","60,6","0,656","0","Сущ"
"554-556",,"554","К-86",,"Вкл.","Трансформатор","Вкл.","6","179","131","177","115","0,97","4,09","0,541","1,33","12,01","21,9","317","60,6","0,361","0","Сущ"
"557-562",,"557","562","Ф-2 Норкин","Вкл.","Линия","Вкл.","6,3","607","461","598","450","8,71","11,18","1,43","0","-0,234","76,2","76,2","10000","0,00762","0","Сущ"
"557-521",,"557","521","Ф-2 Норкин","Вкл.","Линия","Вкл.","6,3","-0,000236","-0,143","-0,000236","-0,000178","0","0","0","0","-0,143","0,0143","0","10000","0","0","Сущ"
"558-559",,"558","559",,"Откл.","Линия","Вкл.",,,,,,,,,,,,,,"0","Сущ",
"558-560",,"558","560","Ф-13 Норкин","Вкл.","Линия","Вкл.","6,3","0,000871","-0,801","0,000865","-0,522","0","0","0","0","-0,279","0,075","0,0489","10000","0","0","Сущ"
"559-560",,"559","560","Ф-13 Норкин","Вкл.","Линия","Вкл.","6,3","0,00384","0,0655","0,00384","0,337","0","0","0","0","-0,272","0,00614","0,0316","10000","0","0","Сущ"
"559-561",,"559","К-31","Ф-13 Норкин","Вкл.","Линия","Откл.",,,,,,,,,,,,,,"0","Сущ",
"560-522",,"560","522","Ф-13 Норкин","Вкл.","Линия","Вкл.","6,3","-0,00412","-0,194","-0,00412","-0,00334","0","0","0","0","-0,19","0,0181","0,000497","10000","0","0","Сущ"
"561-562",,"К-31","562",,"Вкл.","Выключатель","Вкл.","6,3","-389","-287","-389","-287","0","0","0","0","0","49,2","49,2","-","-","0","Сущ"
"561-563",,"К-31","К-31",,"Вкл.","Трансформатор","Вкл.","6,3","232","173","229","154","1,79","7,54","0,771","1,25","11,26","29,4","430","60,6","0,486","0","Сущ"
"561-564",,"К-31","К-31",,"Вкл.","Трансформатор","Вкл.","6,3","157","114","154","99","0,427","2,05","0,272","2,68","13,41","19,78","282","96,2","0,206","0","Сущ"
"562-565",,"562","565","Ф-2 Норкин","Вкл.","Линия","Вкл.","6,3","208","151","208","151","0,154","0,198","0,0741","0","-0,0345","26,2","26,2","10000","0,00262","0","Сущ"
"562-566",,"562","К-31",,"Вкл.","Трансформатор","Вкл.","6,3","1,25","11,26","0","0","0","0","0","1,25","11,26","1,15","0","60,6","0,019","0","Сущ"
