__well_num,__deposit,__pad_num,node_name_start,p_plast,_time,loss,model_kwh,node_id,source
402,Тайлаковское,40б,plast_к.40б__скв.402,207,1680271263,0,0,Тайлаковское 40б 402,0
416,Тайлаковское,40б,plast_к.40б__скв.416,193,1680271263,0,0,Тайлаковское 40б 416,0
1414,Тайлаковское,55,plast_к.55__скв.1414,237,1680271263,0,0,Тайлаковское 55 1414,0
2304,Тайлаковское,230,plast_к.230__скв.2304,1680271263,0,0,с/р №10 ПС 35/6 кВ Кузьмин  ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0) nan КТПН 6/0 4 кВ 1000кВА №1 КП-230 2304,0,
2304,Тайлаковское,230,plast_к.230__скв.2304,1680271263,0,0,Тайлаковское 230 2304,0,
1501,Тайлаковское,45,plast_к.45__скв.1501,215,1680271263,0,0,с/р №10 ПС 35/6 кВ Кузьмин  ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0) nan КТПН 6/0 4кВ 1000кВА №2 КП-45 1501,0
1501,Тайлаковское,45,plast_к.45__скв.1501,215,1680271263,0,0,Тайлаковское 45 1501,0
411,Тайлаковское,40б,plast_к.40б__скв.411,198,1680271263,0,0,Тайлаковское 40б 411,0
1636,Тайлаковское,88,plast_к.88__скв.1636,165,1680271263,0,0,Тайлаковское 88 1636,0
1506,Тайлаковское,45,plast_к.45__скв.1506,232,1680271263,0,0,с/р №10 ПС 35/6 кВ Кузьмин  ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0) nan КТПН 6/0 4кВ 1000кВА №2 КП-45 1506,0
1506,Тайлаковское,45,plast_к.45__скв.1506,232,1680271263,0,0,Тайлаковское 45 1506,0
1638,Тайлаковское,88,plast_к.88__скв.1638,181,1680271263,0,0,Тайлаковское 88 1638,0
6004,Тайлаковское,44,plast_к.44__скв.6004,216,1680271263,0,0,с/р №10 ПС 35/6 кВ Кузьмин  ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0) nan КТПН 6/0 4 кВ 1000кВА №1 КП-44 6004,0
6004,Тайлаковское,44,plast_к.44__скв.6004,216,1680271263,0,0,Тайлаковское 44 6004,0
2303,Тайлаковское,230,plast_к.230__скв.2303,1680271263,0,0,с/р №10 ПС 35/6 кВ Кузьмин  ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0) nan КТПН 6/0 4 кВ 1000кВА №1 КП-230 2303,0,
2303,Тайлаковское,230,plast_к.230__скв.2303,1680271263,0,0,Тайлаковское 230 2303,0,
1416,Тайлаковское,55,plast_к.55__скв.1416,217,1680271263,0,0,Тайлаковское 55 1416,0
1513,Тайлаковское,45,plast_к.45__скв.1513,228,1680271263,0,0,с/р №10 ПС 35/6 кВ Кузьмин  ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0) nan КТПН 6/0 4 кВ 400 кВА №2 К-45 Б 1513,0
1513,Тайлаковское,45,plast_к.45__скв.1513,228,1680271263,0,0,Тайлаковское 45 1513,0
882,Тайлаковское,88,plast_к.88__скв.882,169,1680271263,0,0,Тайлаковское 88 882,0
1633,Тайлаковское,88,plast_к.88__скв.1633,178,1680271263,0,0,Тайлаковское 88 1633,0
6005,Тайлаковское,44,plast_к.44__скв.6005,235,1680271263,0,0,с/р №10 ПС 35/6 кВ Кузьмин  ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0) nan КТПН 6/0 4 кВ 1000кВА №2 КП-44 6005,0
6005,Тайлаковское,44,plast_к.44__скв.6005,235,1680271263,0,0,Тайлаковское 44 6005,0
470,Тайлаковское,37,plast_к.37__скв.470,296,1680271263,0,0,с/р №10 ПС 35/6 кВ Кузьмин  ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0) nan КТПН 6/0 4кВ 630кВА №1 КП-37 470,0
470,Тайлаковское,37,plast_к.37__скв.470,296,1680271263,0,0,Тайлаковское 37 470,0
1603,Тайлаковское,55,plast_к.55__скв.1603,306,1680271263,0,0,Тайлаковское 55 1603,0
3781,Тайлаковское,37,plast_к.37__скв.3781,213,1680271263,0,0,с/р №10 ПС 35/6 кВ Кузьмин  ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0) nan КТПН 6/0 4кВ 630кВА №1 КП-37 3781,0
3781,Тайлаковское,37,plast_к.37__скв.3781,213,1680271263,0,0,Тайлаковское 37 3781,0
1628,Тайлаковское,88,plast_к.88__скв.1628,168,1680271263,0,0,Тайлаковское 88 1628,0
110,Тайлаковское,96,plast_к.96__скв.110,208,1680271263,0,0,Тайлаковское 96 110,0
