IDOBJECT,NAME_OBJECT,IDTYPE_OBJECT,UUID,GMT_SHIFT,CONTROL_POWER,INZONE_ONLY,CONTROL_HOLES,CONTROL_HOUR,TARIF,IDCTG,DAYLIGHT,IDTGROUP,IDMAXPOWER,SHORT_NAME
133,Все ПС 110/35/6 кВ (импорт из МЕТ),1,{086ADC0F-A52B-4202-819A-6058138A089F},,0,False,,,2.0,10.0,,2.0,,
134,"ПС ""Аригольская""",2,{7D46115E-1E8B-4D47-A8A7-C1B2F6C2C43C},,0,False,,,,,,,,
135,"ПС ""Ватинская""",2,{B320877A-D51B-493D-909F-6EF5CEA0D2EA},,0,False,,,,10.0,,2.0,,
136,"ПС ""Заобье""",2,{7B026218-2464-4750-BE7E-24F221C9665C},,0,False,,,,10.0,,2.0,,
137,"ПС ""Кирьяновская""",2,{8ED7D41D-9F3B-4AEE-9052-6C895740A18D},,0,False,,,,10.0,,2.0,,
138,"ПС ""Покамасовская""",2,{F60D1EBE-B178-4598-8F02-2A58C7F522E7},,0,False,,,,10.0,,2.0,,
139,"ПС ""Таежная""",2,{78B21C82-8781-4075-9422-BDCD8214368B},,0,False,,,,10.0,,2.0,,
140,"ПС ""Чистинная""",2,{63820D28-5BC7-4EB3-BECA-02171CDDB078},,0,False,,,,10.0,,2.0,,
141,ЛПХ Мегион,1,,,0,,,,,,,,,
142,"ООО ""ЮЭС"" Аригольское м/р",1,{2E33ED91-6232-4361-8B66-2413DC7F998E},,0,False,,,,,False,,,
143,"ПС 110/35/6кВ ""Вахская""",2,{513BA91A-FAEE-479E-9DEF-2B75A4799F29},,0,False,,,,,False,,,
144,ПС35/6кВ Аригольская-1,2,{EF0E58E5-AC37-44A5-BA02-B1DB1B7031D6},,0,False,,,,,False,,,
150,ПС35/6кВ Аригольская-2,2,{B144B999-C032-4ACB-92D1-8B3DC5AD61F6},,0,False,,,,,False,,,
151,ПС35/6кВ Максимкинская,2,{6D8F0817-6CAA-47DD-BF55-784A92ECBEDF},,0,False,,,,,False,,,
152,РУ 6 кВ ГПЭС Аригольское,2,,,0,,,,,,False,,,
