Подразделение,Электроустановка,Подразделение_num,type,primitiveName,node_name
с/р №3,"ПС 35/6 кВ Куст-1, ТР-р 35/6 кВ №2 (; ПБВ; 0)",3,ПС 35/6 кВ,eeSubstation,Куст-1
с/р №3,"ПС 35/6 кВ №187, ТР-р 35/6 кВ №2 (; ПБВ; 0)",3,ПС 35/6 кВ,eeSubstation,№187
с/р №3,"ПС 35/6 кВ №187, ТР-р 35/6 кВ №1 (; ПБВ; 0)",3,ПС 35/6 кВ,eeSubstation,№187
с/р №3,"ПС 35/6 кВ №186, ТР-р 35/6 кВ №2 (; ПБВ; 0)",3,ПС 35/6 кВ,eeSubstation,№186
с/р №3,"ПС 35/6 кВ №185, ТР-р 35/6 кВ № 2 (; ПБВ; 0)",3,ПС 35/6 кВ,eeSubstation,№185
с/р №3,РУ 6 кВ КНС-2,3,РУ 6 кВ,eeRu,КНС-2
с/р №3,ЗРУ 6 кВ ДНС-1 Зап.-Усть-Балык.,3,ЗРУ 6 кВ,eeZru,ДНС-1 Зап.-Усть-Балык.
с/р №3,"ПС 35/6 кВ №185, ТР-р 35/6 кВ № 1 (; ПБВ; 0)",3,ПС 35/6 кВ,eeSubstation,№185
с/р №4,РУ 6 кВ КНС-10,4,РУ 6 кВ,eeRu,КНС-10
с/р №4,"ПС 35/6 кВ Куст-30, Тр-р 35/6 кВ №2 (; ; 0)",4,ПС 35/6 кВ,eeSubstation,Куст-30
с/р №4,"ПС 35/6 кВ КНС-3, Тр-р 35/6 кВ №1 (; ; 0)",4,ПС 35/6 кВ,eeSubstation,КНС-3
с/р №4,"ПС 35/6 кВ Куст-28, Тр-р 35/6 кВ №2 (; ; 0)",4,ПС 35/6 кВ,eeSubstation,Куст-28
с/р №4,"ПС 35/6 кВ Куст-28, Тр-р 35/6 кВ №1 (; ; 0)",4,ПС 35/6 кВ,eeSubstation,Куст-28
с/р №4,"ПС 35/6 кВ БПТОиКО, Тр-р 35/6 кВ №1 (; ; 0)",4,ПС 35/6 кВ,eeSubstation,БПТОиКО
с/р №4,"ПС 35/6 кВ КНС-6В, Тр-р 35/6 кВ №1 (; ПБВ; 0)",4,ПС 35/6 кВ,eeSubstation,КНС-6В
с/р №4,"ПС 35/6 кВ Куст-64, Тр-р 35/6 кВ №2 (; ; 0)",4,ПС 35/6 кВ,eeSubstation,Куст-64
с/р №4,"ПС 35/6 кВ КНС-6В, Тр-р 35/6 кВ №2 (; ПБВ; 0)",4,ПС 35/6 кВ,eeSubstation,КНС-6В
с/р №4,"ПС 35/6 кВ КНС-7, Тр-р 35/6 кВ №1 (; ; 0)",4,ПС 35/6 кВ,eeSubstation,КНС-7
с/р №4,"ПС 35/6 кВ КНС-7, Тр-р 35/6 кВ №2 (; ; 0)",4,ПС 35/6 кВ,eeSubstation,КНС-7
с/р №4,"ПС 35/6 кВ Куст-64, Тр-р 35/6 кВ №1 (; ; 0)",4,ПС 35/6 кВ,eeSubstation,Куст-64
с/р №4,"ПС 35/6 кВ Куст-30, Тр-р 35/6 кВ №1 (; ; 0)",4,ПС 35/6 кВ,eeSubstation,Куст-30
с/р №4,"ПС 35/6 кВ КНС-3, Тр-р 35/6 кВ №2 (; ; 0)",4,ПС 35/6 кВ,eeSubstation,КНС-3
с/р №4,"ПС 35/6 кВ Куст-78 С-Ват., Тр-р 35/6 кВ №1 (; ; 0)",4,ПС 35/6 кВ,eeSubstation,Куст-78 С-Ват.
с/р №4,"ПС 35/6 кВ Кондратьевская, Тр-р 35/6 кВ №2 (; ; 0)",4,ПС 35/6 кВ,eeSubstation,Кондратьевская
с/р №4,"ПС 35/6 кВ ДНС-2, Тр-р 35/6 кВ №1 (; ; 0)",4,ПС 35/6 кВ,eeSubstation,ДНС-2
с/р №4,"ПС 35/6 кВ Куст-93, Тр-р 35/6 кВ №2 (; ; 0)",4,ПС 35/6 кВ,eeSubstation,Куст-93
с/р №4,"ПС 35/6 кВ Кондратьевская, Тр-р 35/6 кВ №1 (; ; 0)",4,ПС 35/6 кВ,eeSubstation,Кондратьевская
с/р №4,"ПС 35/6 кВ Куст-93, Тр-р 35/6 кВ №1 (; ; 0)",4,ПС 35/6 кВ,eeSubstation,Куст-93
с/р №4,"ПС 35/6 кВ Куст-124, Тр-р 35/6 кВ №1 (; ; 0)",4,ПС 35/6 кВ,eeSubstation,Куст-124
с/р №4,"ПС 35/6 кВ Куст-124, Тр-р 35/6 кВ №2 (; ; 0)",4,ПС 35/6 кВ,eeSubstation,Куст-124
с/р №4,РУ 6 кВ БКНС-6,4,РУ 6 кВ,eeRu,БКНС-6
с/р №4,РУ 6 кВ Северо-Ватинское,4,РУ 6 кВ,eeRu,Северо-Ватинское
с/р №4,"ПС 35/6 кВ Куст-150, Тр-р 35/6 кВ №1 (; ПБВ; 0)",4,ПС 35/6 кВ,eeSubstation,Куст-150
с/р №4,РУ 6 кВ КНС-3,4,РУ 6 кВ,eeRu,КНС-3
с/р №4,"ПС 35/6 кВ Куст-150, Тр-р 35/6 кВ №2 (; ПБВ; 0)",4,ПС 35/6 кВ,eeSubstation,Куст-150
с/р №4,"ПС 35/6 кВ Куст-78 С-Ват., Тр-р 35/6 кВ №2 (; ; 0)",4,ПС 35/6 кВ,eeSubstation,Куст-78 С-Ват.
с/р №5,"ПС 35/6 кВ Куст-69бис, Тр-р 35/6 кВ №2 (; ; 0)",5,ПС 35/6 кВ,eeSubstation,Куст-69бис
с/р №5,"ПС 35/6 кВ Промысловая-2, Тр-р 35/6 кВ №1 (; ; 0)",5,ПС 35/6 кВ,eeSubstation,Промысловая-2
с/р №5,"ПС 35/6 кВ Промысловая-2, Тр-р 35/6 кВ №2 (; ; 0)",5,ПС 35/6 кВ,eeSubstation,Промысловая-2
с/р №5,"ПС 35/6 кВ Куст-67, Тр-р 35/6 кВ №1 (; ПБВ; 0)",5,ПС 35/6 кВ,eeSubstation,Куст-67
с/р №5,"ПС 35/6 кВ Мало-Аганская, Тр-р 35/6 кВ №2 (; ; 0)",5,ПС 35/6 кВ,eeSubstation,Мало-Аганская
с/р №5,"ПС 35/6 кВ Куст-9бис, Тр-р 35/6 кВ №2 (; ; 0)",5,ПС 35/6 кВ,eeSubstation,Куст-9бис
с/р №5,"ПС 35/6 кВ Мало-Аганская, Тр-р 35/6 кВ №1 (; ; 0)",5,ПС 35/6 кВ,eeSubstation,Мало-Аганская
с/р №5,"ПС 35/6 кВ Куст-9бис, Тр-р 35/6 кВ №1 (; ; 0)",5,ПС 35/6 кВ,eeSubstation,Куст-9бис
с/р №5,"ПС 35/6 кВ Куст-69, Тр-р 35/6 кВ №1 (; ; 0)",5,ПС 35/6 кВ,eeSubstation,Куст-69
с/р №5,"ПС 35/6 кВ Куст-69бис, Тр-р 35/6 кВ №1 (; ; 0)",5,ПС 35/6 кВ,eeSubstation,Куст-69бис
с/р №5,"ПС 35/6 кВ Куст-86, Тр-р 35/6 кВ №2 (; ПБВ; 0)",5,ПС 35/6 кВ,eeSubstation,Куст-86
с/р №5,"ПС 35/6 кВ Куст-67, Тр-р 35/6 кВ №2 (; ПБВ; 0)",5,ПС 35/6 кВ,eeSubstation,Куст-67
с/р №5,"ПС 35/6 кВ Куст-69, Тр-р 35/6 кВ №2 (; ; 0)",5,ПС 35/6 кВ,eeSubstation,Куст-69
с/р №5,"ПС 35/6 кВ Куст-86, Тр-р 35/6 кВ №1 (; ПБВ; 0)",5,ПС 35/6 кВ,eeSubstation,Куст-86
с/р №5,"ПС 35/6 кВ Западно-Аганская, Тр-р 35/6 кВ №1 (; ; 0)",5,ПС 35/6 кВ,eeSubstation,Западно-Аганская
с/р №5,"ПС 35/6 кВ Куст-103, Тр-р 35/6 кВ №1 (; ; 0)",5,ПС 35/6 кВ,eeSubstation,Куст-103
с/р №5,"ПС 35/6 кВ Куст-103, Тр-р 35/6 кВ №2 (; ; 0)",5,ПС 35/6 кВ,eeSubstation,Куст-103
с/р №5,"ПС 35/6 кВ Куст-106, Тр-р 35/6 кВ №1 (; ; 0)",5,ПС 35/6 кВ,eeSubstation,Куст-106
с/р №5,"ПС 35/6 кВ Куст-106, Тр-р 35/6 кВ №2 (; ; 0)",5,ПС 35/6 кВ,eeSubstation,Куст-106
с/р №5,"ПС 35/6 кВ Куст-11, Тр-р 35/6 кВ №1 (; ; 0)",5,ПС 35/6 кВ,eeSubstation,Куст-11
с/р №5,"ПС 35/6 кВ Куст-11, Тр-р 35/6 кВ №2 (; ; 0)",5,ПС 35/6 кВ,eeSubstation,Куст-11
с/р №5,РУ 6кВ Южно-Аганское,5,,,
с/р №5,РУ 6 кВ №3,5,РУ 6 кВ,eeRu,№3
с/р №5,"ПС 35/6 кВ Куст-111, Тр-р 35/6 кВ №1 (; ; 0)",5,ПС 35/6 кВ,eeSubstation,Куст-111
с/р №5,"ПС 35/6 кВ Куст-113, ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0)",5,ПС 35/6 кВ,eeSubstation,Куст-113
с/р №5,"ПС 35/6 кВ Куст-113, ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",5,ПС 35/6 кВ,eeSubstation,Куст-113
с/р №5,"ПС 35/6 кВ Куст-114, Тр-р 35/6 кВ №2 (; ПБВ; 0)",5,ПС 35/6 кВ,eeSubstation,Куст-114
с/р №5,"ПС 35/6 кВ Куст-115, Тр-р 35/6 кВ №1 (; ПБВ; 0)",5,ПС 35/6 кВ,eeSubstation,Куст-115
с/р №5,"ПС 35/6 кВ Промысловая-1, Тр-р 35/6 кВ №2 (; ; 0)",5,ПС 35/6 кВ,eeSubstation,Промысловая-1
