Подразделение,Электроустановка,Подразделение_num
с/р №5,"ПС 35/6 кВ Куст-113, ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0)",5
с/р №5,"ПС 35/6 кВ Куст-113, ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",5
с/р №5,"ПС 35/6 кВ Куст-114, Тр-р 35/6 кВ №2 (; ПБВ; 0)",5
с/р №5,"ПС 35/6 кВ Куст-115, Тр-р 35/6 кВ №1 (; ПБВ; 0)",5
с/р №5,"ПС 35/6 кВ Промысловая-1, Тр-р 35/6 кВ №2 (; ; 0)",5
с/р №5,"ПС 35/6 кВ Западно-Аганская, Тр-р 35/6 кВ №2 (; ; 0)",5
с/р №5,"ПС 35/6 кВ КНС-1А, Тр-р 35/6 кВ №2 (; ПБВ; 0)",5
с/р №5,"ПС 35/6 кВ КНС-2, Тр-р 35/6 кВ №1 (; ; 0)",5
с/р №5,"ПС 35/6 кВ КНС-2, Тр-р 35/6 кВ №2 (; ; 0)",5
с/р №5,РУ 6 кВ №1,5
с/р №5,"ПС 35/6 кВ КНС-3А, Тр-р 35/6 кВ №1 (; ; 0)",5
с/р №5,"ПС 35/6 кВ Промысловая-1, Тр-р 35/6 кВ №1 (; ; 0)",5
с/р №5,РУ 6 кВ ДНС-1ЮА,5
с/р №5,РУ 6 кВ КНС-2ЮА,5
с/р №5,КРУН 6 кВ ДНС-3,5
с/р №5,РУ 6 кВ Январское,5
с/р №5,"ПС 35/6 кВ КНС-3А, Тр-р 35/6 кВ №2 (; ; 0)",5
с/р №6,"ПС 35/6 кВ Баграс, Тр-р 35/6 кВ №1 (; ПБВ; 0)",6
с/р №6,"ПС 35/6 кВ ДНС-2М, Тр-р 35/6 кВ №1 (; ПБВ; 0)",6
с/р №6,РУ 6 кВ ГУ-4,6
с/р №6,"ПС 35/6 кВ Баграс, ТР-р 35/6 кВ №2 (; ПБВ; 0)",6
с/р №6,РУ 6 кВ №2,6
с/р №6,РУ-6 кВ КНС-3А,6
с/р №6,"ПС 35/6 кВ Куст-8, Тр-р 35/6 кВ №1 (; ; 0)",6
с/р №6,"ПС 35/6 кВ Куст-8, Тр-р 35/6 кВ №2 (; ; 0)",6
с/р №6,"ПС 35/6 кВ Куст-13, Тр-р 35/6 кВ №1 (; ; 0)",6
с/р №6,"ПС 35/6 кВ Мыхпай, Тр-р 35/6 кВ №1 (; ПБВ; 0)",6
с/р №6,"ПС 35/6 кВ КНС-3м, Тр-р 35/6 кВ №1 (; ПБВ; 0)",6
с/р №6,"ПС 35/6 кВ Мыхпай, Тр-р 35/6 кВ №2 (; ПБВ; 0)",6
с/р №6,"ПС 35/6 кВ КНС-3м, Тр-р 35/6 кВ №2 (; ПБВ; 0)",6
с/р №6,"ПС 35/6 кВ ДНС-2М, Тр-р 35/6 кВ №2 (; ПБВ; 0)",6
с/р №6,"ПС 35/6 кВ Насыровская, Тр-р 35/6 кВ №1 (; ПБВ; 0)",6
с/р №6,"ПС 35/6 кВ Новая, Тр-р 35/6 кВ №1 (; ПБВ; 0)",6
с/р №6,"ПС 35/6 кВ Новая, Тр-р 35/6 кВ №2 (; ПБВ; 0)",6
с/р №6,"ПС 35/6 кВ Куст-13, Тр-р 35/6 кВ №2 (; ; 0)",6
с/р №7,"ПС 35/6 кВ Островная, ТР-р 35/6 кВ №2 (; ПБВ; 0)",7
с/р №7,"ПС 35/6 кВ Куст-1, Тр-р 35/6 кВ №1 (; ПБВ; 0)",7
с/р №7,РУ 6 кВ Ново-Покурское,7
с/р №7,"ПС 35/6 кВ БКНС-2, Тр-р 35/6 кВ №1 (; ПБВ; 0)",7
с/р №7,"ПС 35/6 кВ БКНС-2, Тр-р 35/6 кВ №2 (; ПБВ; 0)",7
с/р №7,"ПС 35/6 кВ Кедровая, Тр-р 35/6 кВ №1 (; ПБВ; 0)",7
с/р №7,"ПС 35/6 кВ Кедровая, Тр-р 35/6 кВ №2 (; ПБВ; 0)",7
с/р №7,РУ 6 кВ УПН,7
с/р №7,"ПС 35/6 кВ Куст-2, ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0)",7
с/р №7,"ПС 35/6 кВ Куст-78, Тр-р 35/6 кВ №2 (; ПБВ; 0)",7
с/р №7,"ПС 35/6 кВ Куст-2, ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",7
с/р №7,"ПС 35/6 кВ Куст-1, Тр-р 35/6 кВ №2 (; ПБВ; 0)",7
с/р №7,"ПС 35/6 кВ Южно-Покамасовская, Тр-р 35/6 кВ №2 (; ПБВ; 0)",7
с/р №7,"ПС 35/6 кВ Южно-Покамасовская, Тр-р 35/6 кВ №1 (; ПБВ; 0)",7
с/р №7,ЗРУ 6 кВ ГТЭС,7
с/р №7,"ПС 35/6 кВ Островная, ТР-р 35/6 кВ №1 (; ПБВ; 0)",7
с/р №7,"ПС 35/6 кВ Куст-78, Тр-р 35/6 кВ №1 (; ПБВ; 0)",7
с/р №8,РУ 6 кВ Кетовское,8
с/р №8,"ПС 35/6 кВ Куст-109, Тр-р 35/6 кВ №1 (; ПБВ; 0)",8
с/р №8,"ПС 35/6 кВ Куст-110, Тр-р 35/6 кВ №1 (; ; 0)",8
с/р №8,"ПС 35/6 кВ Куст-109, Тр-р 35/6 кВ №2 (; ПБВ; 0)",8
с/р №8,ЗРУ-6 кВ ГТЭС,8
с/р №8,"ПС 35/6 кВ Куст-110, Тр-р 35/6 кВ №2 (; ; 0)",8
с/р №8,"ПС 35/6 кВ Куст-115, Тр-р 35/6 кВ №2 (; ПБВ; 0)",8
с/р №8,РУ 6 кВ Покамасовское,8
с/р №8,"ПС 35/6 кВ Пеньковская, Тр-р 35/6 кВ №1 (; ПБВ; 0)",8
с/р №8,"ПС 35/6 кВ Куст-10, Тр-р 35/6 кВ №2 (; ПБВ; 0)",8
с/р №8,"ПС 35/6 кВ Пеньковская, Тр-р 35/6 кВ №2 (; ПБВ; 0)",8
с/р №8,РУ 6 кВ КНС-1,8
с/р №8,РУ 6 кВ КНС юл,8
с/р №8,РУ 6 кВ КНС Кет.,8
с/р №8,"ПС 35/6 кВ Сапарка, Тр-р 35/6 кВ №1 (; ПБВ; 0)",8
с/р №8,"ПС 35/6 кВ Куст-51, Тр-р 35/6 кВ №1 (; ПБВ; 0)",8
с/р №8,"ПС 35/6 кВ Куст-51, Тр-р 35/6 кВ №2 (; ПБВ; 0)",8
с/р №8,"ПС 35/6 кВ Куст-10, Тр-р 35/6 кВ №1 (; ПБВ; 0)",8
с/р №8,"ПС 35/6 кВ Сапарка, Тр-р 35/6 кВ №2 (; ПБВ; 0)",8
с/р №8,"ПС 35/6 кВ Надежда, Тр-р 35/6 кВ №1 (; ПБВ; 0)",8
с/р №8,"ПС 35/6 кВ Надежда, Тр-р 35/6 кВ №2 (; ПБВ; 0)",8
с/р №8,"ПС 35/6 кВ Северо-Островная, Тр-р 35/6 кВ №1 (; ПБВ; 0)",8
с/р №8,"ПС 35/6 кВ Северо-Островная, Тр-р 35/6 кВ №2 (; ПБВ; 0)",8
с/р №9,"ПС 35/6 кВ ""Салманов"", ТР-р 35/6 кВ № №1 (; ПБВ; 0)",9
с/р №9,КРУН 6 кВ ДНС-2,9
с/р №9,"ПС 35/6 кВ ""Норкин"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",9
с/р №9,РУ 6 кВ ДНС-2,9
с/р №9,"ПС 35/6 кВ ""Норкин"", ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0)",9
с/р №9,КРУ 6кВ ГТЭС ДНС-2,9
с/р №9,"ПС 35/6 кВ ""Салманов"", ТР-р 35/6 кВ № №2 (; ПБВ; 0)",9
"ООО ""ЮЭС""",ЗРУ 6 кВ ЭЦ КП-9,
